lat,lon,densidade,densidade_baseline
-23.557979865771813,-46.82290604026846,9279.392049908342,2256.678698039823
-23.55361073825503,-46.82290604026846,9239.353891540695,2253.8075314391986
-23.549241610738253,-46.82290604026846,9195.0993514022,2250.7459252020435
-23.544872483221475,-46.82290604026846,9146.682211375237,2247.4946625291614
-23.540503355704697,-46.82290604026846,9094.161992731468,2244.054574531509
-23.53613422818792,-46.82290604026846,9037.603839179214,2240.426539876322
-23.53176510067114,-46.82290604026846,8977.078386860903,2236.611484413323
-23.527395973154363,-46.82290604026846,8912.661621641086,2232.6103807811896
-23.523026845637585,-46.82290604026846,8844.434724065872,2228.424247994516
-23.518657718120803,-46.82290604026846,8772.483902418218,2224.0541510115672
-23.514288590604025,-46.82290604026846,8696.90021433035,2219.5012002830167
-23.509919463087247,-46.82290604026846,8617.779377453706,2214.7665512819644
-23.50555033557047,-46.82290604026846,8535.221569722362,2209.8514040155233
-23.50118120805369,-46.82290604026846,8449.331219781849,2204.757002518273
-23.496812080536916,-46.82290604026846,8360.21678818428,2199.4846343278073
-23.49244295302013,-46.82290604026846,8267.990539984574,2194.035629942765
-23.48807382550336,-46.82290604026846,8172.768309398041,2188.411362263705
-23.48370469798657,-46.82290604026846,8074.669257205486,2182.613246016894
-23.4793355704698,-46.82290604026846,7973.815621616124,2176.6427371618024
-23.47496644295302,-46.82290604026846,7870.332463316203,2170.5013322821073
-23.47059731543624,-46.82290604026846,7764.347405452518,2164.190567961098
-23.466228187919462,-46.82290604026846,7655.990369311033,2157.7120201413873
-23.461859060402684,-46.82290604026846,7545.393306464628,2151.0673034696383
-23.457489932885903,-46.82290604026846,7432.689928173142,2144.2580706264853
-23.453120805369128,-46.82290604026846,7318.015432823027,2137.2860116421443
-23.44875167785235,-46.82290604026846,7201.506232198684,2130.152853198045
-23.44438255033557,-46.82290604026846,7083.299677376031,2122.860357914931
-23.44001342281879,-46.82290604026846,6963.533785027099,2115.4103236278484
-23.43564429530201,-46.82290604026846,6842.346964915247,2107.804582648332
-23.431275167785238,-46.82290604026846,6719.877749356536,2100.0450010144295
-23.426906040268456,-46.82290604026846,6596.264525404993,2092.1334777286734
-23.42253691275168,-46.82290604026846,6471.645270508743,2084.0719439848517
-23.4181677852349,-46.82290604026846,6346.157292363861,2075.862362383543
-23.41379865771812,-46.82290604026846,6219.936973673753,2067.5067261373338
-23.40942953020134,-46.82290604026846,6093.119522497241,2059.007058265711
-23.40506040268456,-46.82290604026846,5965.83872884522,2050.3654107805496
-23.400691275167784,-46.82290604026846,5838.226728154317,2041.5838638622297
-23.39632214765101,-46.82290604026846,5710.413772239955,2032.6645250270635
-23.391953020134228,-46.82290604026846,5582.528008296036,2023.6095282865415
-23.38758389261745,-46.82290604026846,5454.695266474206,2014.421033298792
-23.38321476510067,-46.82290604026846,5327.038856542496,2005.101224512584
-23.378845637583893,-46.82290604026846,5199.679374081851,1995.6523103046331
-23.37447651006711,-46.82290604026846,5072.734516643161,1986.0765221104411
-23.370107382550334,-46.82290604026846,4946.318910246699,1976.3761135493698
-23.36573825503356,-46.82290604026846,4820.54394656109,1966.5533595441086
-23.361369127516777,-46.82290604026846,4695.5176310643765,1956.6105554353608
-23.357,-46.82290604026846,4571.344442439646,1946.5500160920656
-24.008,-46.81981208053691,1285.054278686618,1624.1622641585684
-24.00363087248322,-46.81981208053691,1339.796516461468,1636.5610283935064
-23.999261744966443,-46.81981208053691,1396.2648824597532,1648.9123616246536
-23.994892617449665,-46.81981208053691,1454.4822646835255,1661.2137695677984
-23.990523489932887,-46.81981208053691,1514.4701845311606,1673.4627521552868
-23.986154362416105,-46.81981208053691,1576.248699766619,1685.656804356976
-23.981785234899327,-46.81981208053691,1639.8363065542085,1697.7934170094
-23.97741610738255,-46.81981208053691,1705.2498407790165,1709.8700776528613
-23.97304697986577,-46.81981208053691,1772.504378884251,1721.884271375988
-23.968677852348996,-46.81981208053691,1841.613138468316,1733.8334816673641
